text,date,newspaper,likes,retweets,lang,period
"The risk of wildfire in the U.S. is widespread and severe, according to new data that, for the first time, calculates the risk for every property in the lower 48 states.

And the threats are rising, the data shows. Here's where they're highest. https://t.co/0abfGUmuSh https://t.co/YJ4Fqc8Ugt",2022-05-16 19:15:24+00:00,nytimes,206,78,en,war
"Representative Ted Budd is proving the political potency of pairing endorsements from Donald Trump and the Club for Growth, an influential anti-tax group that has spent $32 million on federal races this year and has at times gone against Trump's picks. https://t.co/cEbNnbJALh",2022-05-16 19:10:04+00:00,nytimes,69,19,en,war
"The Believer, a beloved literary magazine that was bought by a marketing company, briefly hosted clickbait content. Scandal ensued. After a flurry of negotiation, it is now back with its first publisher, McSweeney’s. https://t.co/8rjwRUYkgN",2022-05-16 19:05:04+00:00,nytimes,90,20,en,war
"Katherine Massey, one of the victims of the mass shooting at a Tops supermarket in Buffalo on Saturday, wrote several commanding letters in local Buffalo publications urging stronger gun control laws. https://t.co/vB6n4JBUEK",2022-05-16 19:00:06+00:00,nytimes,1665,404,en,war
"Read @joncaramanica's review of Kendrick Lamar's ""Mr. Morale &amp; the Big Steppers."" https://t.co/XS7QNJwn6A",2022-05-16 18:55:04+00:00,nytimes,230,27,en,war
"Donald Trump could be paid to post on his social media platform Truth Social. But it remains unclear if regulators would allow its merger with a cash-rich shell company to go forward, according to a corporate filing on Monday. https://t.co/IhNlbOLAHe",2022-05-16 18:44:05+00:00,nytimes,175,41,en,war
"El periodista detrás de la serie “Pandemia íntima”, se sintió conmovido ante el valor de los adolescentes y las familias que compartieron sus experiencias, profundamente personales, para este proyecto que tomó más de un año de reportaje. https://t.co/S2FcqJi213",2022-05-16 18:35:58+00:00,nytimes,50,7,en,war
"Linda, la madre de M, le ha visto descender en una espiral: depresión severa, autolesión, intento de suicidio. “No controlas lo que piensa”, dijo, y agregó: “Solo quiero decirle a la gente lo que puede pasar”. https://t.co/DNxzq3oTQH https://t.co/WzVVsxrg0i",2022-05-16 18:35:57+00:00,nytimes,38,2,en,war
"Según estudios recientes, los adolescentes en Estados Unidos reportan cada vez más que se sienten solos, incluso cuando el uso de internet y su participación en redes sociales se ha disparado. https://t.co/DNxzq3oTQH https://t.co/3WmV0WJ7lw",2022-05-16 18:35:57+00:00,nytimes,15,4,en,war
"Nuestro reportero habló con decenas de jóvenes para explorar la naturaleza cambiante de la adolescencia en Estados Unidos. Al preguntarles cuál es la fuente principal de sus dificultades de salud mental, notó que se repetía una palabra: “soledad”. https://t.co/DNxzq3oTQH https://t.co/HVZRBhZCoF",2022-05-16 18:35:56+00:00,nytimes,14,2,en,war
"La crisis de salud mental en los jóvenes de EE. UU. se intensificó con la pandemia. Según varios hospitales y médicos, es una emergencia nacional que atraviesa grupos étnicos y raciales, áreas urbanas y rurales, sin importar el nivel socioeconómico. https://t.co/DNxzq3oTQH https://t.co/t2kK8QFp9O",2022-05-16 18:35:55+00:00,nytimes,18,7,en,war
