text,date,newspaper,likes,retweets,lang,period
"In Opinion

Katherine Stewart and Caroline Fredrickson write, “A deeper understanding of William Barr is emerging, and it reveals something profound and disturbing about the evolution of conservatism in 21st-century America.”
https://t.co/7TOLJTUE85",2019-12-30 16:40:04+00:00,nytimes,845,333,en,precovid
"Xinjiang’s Muslim minorities — mostly Uighurs and Kazakhs — are being remolded into an army of factory workers loyal to China’s ruling Communist Party. This forced labor may be tainting global supply chains used by large retailers such as Muji and Uniqlo.
https://t.co/7GajiypaGL",2019-12-30 16:20:08+00:00,nytimes,1635,1453,en,precovid
"“They’re in a lot of trouble, and they need our care and our help if they’re going to survive,” said the endangered species director at the Center for Biological Diversity https://t.co/60wj8yIjMy",2019-12-30 16:00:13+00:00,nytimes,1578,567,en,precovid
"The last decade at the NYT Crossword included a dizzying number of changes and additions. @DebAmlen, our crossword columnist, chronicled the last 10 years of puzzling with our readers. https://t.co/r8dVjUOnLo",2019-12-30 15:40:02+00:00,nytimes,104,29,en,precovid
"The Trump administration’s 2017 overhaul was the biggest change to the U.S. tax code in 3 decades, slashing taxes for big companies. Here's how an army of corporate lobbyists helped big companies end up with even smaller tax bills. https://t.co/xZ0QvCdynr",2019-12-30 15:20:07+00:00,nytimes,1116,727,en,precovid
"The Giants fired Pat Shurmur, people with knowledge of the team’s plans said, as the NFL entered Black Monday, the date when the leaders of disappointing teams are traditionally sent packing https://t.co/NigWooNJIP",2019-12-30 15:00:01+00:00,nytimes,87,22,en,precovid
Elizabeth Warren is lagging. Joe Biden is rebounding. And Bernie Sanders continues to haul in cash. Here’s what we know about fund-raising by the 2020 Democratic presidential candidates ahead of a key December 31 deadline. https://t.co/OYwGFdxO6l,2019-12-30 14:50:03+00:00,nytimes,211,68,en,precovid
"After a Michigan state trooper fired a Taser at 15-year-old Damon Grimes, the teen crashed into a truck and died. His family has settled a wrongful-death lawsuit against the Michigan State Police for $12 million, a family lawyer said Sunday.
https://t.co/zhcjQ0H0ad",2019-12-30 14:40:06+00:00,nytimes,301,101,en,precovid
"Dax Shepard’s interview podcast, “Armchair Expert,” is among the most downloaded podcasts. Is the actor the next Howard Stern? Terry Gross? Or something else entirely? https://t.co/ynROJ4crAM",2019-12-30 14:20:05+00:00,nytimes,832,116,en,precovid
"Without speaking, or even knowing each other’s names, two strangers share a choreographed dance — they learn their parts independently in advance — and get to know each other through movement alone https://t.co/8Z4Q0e41y8",2019-12-30 14:00:07+00:00,nytimes,226,45,en,precovid
"For half the year, Svalbard, the northernmost inhabited place in the world, is lit by the midnight sun. The other half of the year, the Norwegian archipelago is plunged into the purple darkness of polar night. https://t.co/ewVTkaYfxc",2019-12-30 13:40:03+00:00,nytimes,453,90,en,precovid
"A ballistic missile ripped through a military parade for a separatist group in southern Yemen backed by the United Arab Emirates, killing at least 6 troops and 4 children https://t.co/pRgG3YujPd",2019-12-30 13:30:02+00:00,nytimes,62,31,en,precovid
"This year, we delivered 125 dispatches from 44 countries and six continents, each one offering an immersive experience of one of the world’s most noteworthy places. Here are the highlights. https://t.co/aTPac90FF8",2019-12-30 13:20:02+00:00,nytimes,169,34,en,precovid
"A ballistic missile ripped through a military parade for a separatist group in southern Yemen backed by the United Arab Emirates, killing at least 6 troops and 4 children https://t.co/MleQGRlrxX",2019-12-30 13:00:10+00:00,nytimes,72,31,en,precovid
A Sudanese court sentenced to death 27 members of the national intelligence service over the killing of a teacher https://t.co/QMrWSFiLK8,2019-12-30 12:50:05+00:00,nytimes,145,68,en,precovid
"A winter storm is expected to bring freezing rain to areas of Massachusetts, New Hampshire, New York and Vermont, forecasters said https://t.co/I9sZVYux8m",2019-12-30 12:40:04+00:00,nytimes,148,58,en,precovid
"“The Daily” podcast is revisiting some of our favorite episodes. Today, we talk to our critic about his reckoning with abuse allegations against Michael Jackson — and his efforts to abstain from the pop star’s music. https://t.co/2aLmMBGN9V",2019-12-30 12:30:07+00:00,nytimes,181,45,en,precovid
Morning briefing: Here's what you need to know to start your day https://t.co/i4IE6GELpo,2019-12-30 12:00:11+00:00,nytimes,84,29,en,precovid
"Dismayed by the state of politics in the United States, fans of “The West Wing” are returning to the show to find solace https://t.co/Z55EkqSXAO",2019-12-30 11:40:03+00:00,nytimes,649,134,en,precovid
"Threats of ""retribution,"" more accusations of ""fake news"" and the end of the White House briefing made 2019 the darkest yet for journalists in the Trump era https://t.co/ty8wJ71UnC",2019-12-30 11:30:10+00:00,nytimes,523,230,en,precovid
"Mitoshi Matsumoto, the most famous 7-Eleven convenience store owner in Japan, wants to do something unthinkable in his 24-hour, 7-day-a-week industry: Take a day off. That’s why, he says, 7-Eleven is trying to put him out of business. https://t.co/fTFqxU7OKp",2019-12-30 11:20:05+00:00,nytimes,1547,558,en,precovid
"Eddie Hill, 10, loved basketball and rap. But he also loved school. ""He liked to read big books,"" his father told @mattbpurdy for @NYTMag. ""He’d come in the room and say, What is this word or that word? I bought him a dictionary. He read that dictionary.” https://t.co/YrlU8G6Ys7",2019-12-30 11:00:13+00:00,nytimes,185,66,en,precovid
Wives are shocking their traditional West African villages by earning money and running large households while their husbands are in Europe seeking jobs https://t.co/jaqZjCTPFj,2019-12-30 10:50:02+00:00,nytimes,834,218,en,precovid
"In order to earn a living, Indonesia's wildcat miners effectively poison themselves, their communities and the environment https://t.co/3JwK34aXa3",2019-12-30 10:40:06+00:00,nytimes,156,100,en,precovid
A British woman who accused 12 Israeli men of rape in Cyprus and then retracted her statement was found guilty of public mischief https://t.co/bVOcPRlBkp,2019-12-30 10:20:05+00:00,nytimes,268,88,en,precovid
"In China, teaching men the manipulative ways of the pickup artist became big business. Among other abuses, firms taught men how to seduce women by using gaslighting, a form of psychological control intended to make someone question her own sanity. https://t.co/kCU3y8NEiH",2019-12-30 10:00:10+00:00,nytimes,336,149,en,precovid
